customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
8148-BPLZQ,Yes,No,DSL,No,Yes,No,No,No,No
0557-ASKVU,Yes,No,DSL,No,No,Yes,Yes,No,No
3354-OADJP,Yes,No,DSL,Yes,No,No,Yes,No,No
2259-OUUSZ,No,No phone service,DSL,No,No,Yes,Yes,No,No
4919-IKATY,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
4328-VUFWD,Yes,No,DSL,No,No,No,Yes,No,Yes
8681-ICONS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2232-DMLXU,Yes,No,DSL,No,No,No,No,Yes,No
6447-GORXK,No,No phone service,DSL,No,No,No,No,No,No
1777-JYQPJ,No,No phone service,DSL,No,No,No,No,No,No
6685-GBWJZ,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No
3955-JBZZM,Yes,No,Fiber optic,No,No,No,No,Yes,No
5197-LQXXH,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
5993-JSUWV,Yes,No,DSL,Yes,Yes,Yes,No,No,No
2219-MVUSO,Yes,No,DSL,No,No,No,No,No,No
3158-MOERK,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
3594-KADLU,No,No phone service,DSL,Yes,No,No,Yes,No,No
0932-YIXYU,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8348-HFYIV,No,No phone service,DSL,No,No,Yes,No,Yes,Yes
8687-BAFGU,Yes,No,Fiber optic,No,No,No,Yes,No,No
7353-YOWFP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6837-HAEVO,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
6734-GMPVK,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
7602-DBTOU,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9894-EZEWG,Yes,No,Fiber optic,No,Yes,No,No,No,No
1670-SVOWZ,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes
9142-XMYJH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5893-PYOLZ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
3319-DWOEP,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
9514-JDSKI,No,No phone service,DSL,No,Yes,No,No,Yes,No
7432-FFVAR,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes
4329-YPDDQ,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
2860-RANUS,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
8696-JKZNU,Yes,Yes,Fiber optic,No,No,No,No,No,No
1089-XZWHH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4831-EOBFE,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes
4423-YLHDV,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
5449-FIBXJ,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
8144-DGHXP,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
6598-RFFVI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3096-JRDSO,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes
5862-BRIXZ,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
1057-FOGLZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9371-BITHB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4580-TMHJU,Yes,No,DSL,No,No,No,No,Yes,No
0178-CIIKR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9348-YVOMK,Yes,No,DSL,No,No,No,No,No,No
8417-FMLZI,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
6851-WEFYX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
8181-YHCMF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
7548-SEPYI,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
0374-IOEGQ,Yes,No,DSL,No,No,No,No,No,No
0581-BXBUB,Yes,No,Fiber optic,No,Yes,No,No,No,No
9350-ZXYJC,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8642-GVWRF,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
2931-SVLTV,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
5183-SNMJQ,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
7278-CKDNC,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
8024-XNAFQ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
5480-TBGPH,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
7301-ABVAD,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
4678-DVQEO,Yes,No,DSL,No,No,No,Yes,No,No
9415-DPEWS,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No
3748-FVMZZ,No,No phone service,DSL,No,No,No,Yes,No,Yes
5281-BUZGT,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
5879-SESNB,Yes,Yes,Fiber optic,No,No,No,No,No,No
1820-TQVEV,Yes,No,Fiber optic,No,No,No,No,No,No
9003-CPATH,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
1268-ASBGA,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
6655-LHBYW,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
9227-LUNBG,No,No phone service,DSL,No,No,No,No,No,No
9418-RUKPH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0537-QYZZN,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
8734-FNWVH,Yes,Yes,DSL,No,No,No,No,No,Yes
4801-KFYKL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8327-LZKAS,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
4188-PCPIG,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No
1843-TLSGD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6906-MPARY,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes
6082-OQFBA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3544-FBCAS,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
8034-RYTVV,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
7130-YXBRO,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
1157-BQCUW,Yes,Yes,Fiber optic,No,No,No,No,No,No
9445-SZLCH,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
1399-UBQIU,Yes,No,DSL,No,No,Yes,No,Yes,Yes
4912-PIGUY,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
1323-OOEPC,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
3181-VTHOE,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes
8272-ONJLV,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
3647-GMGDH,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
1303-SRDOK,Yes,No,Fiber optic,No,No,No,No,No,No
7361-YPXFS,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No
3359-DSRKA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6746-WAUWT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4659-NZRUF,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes
9518-IMLHK,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No
3374-LXDEV,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No
5356-RHIPP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1122-JWTJW,Yes,No,Fiber optic,No,No,No,No,No,No
0650-BWOZN,Yes,No,Fiber optic,No,Yes,No,No,No,No
5546-QUERU,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8610-ZIKJJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8590-YFFQO,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No
2428-HYUNX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7219-TLZHO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2649-HWLYB,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes
8065-QBYTO,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
8259-DZLIZ,Yes,Yes,DSL,No,Yes,No,No,No,No
3348-CFRNX,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes
8245-UMPYT,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
1555-DJEQW,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
7776-QGYJC,Yes,No,Fiber optic,No,No,Yes,Yes,No,No
2828-SLQPF,Yes,No,DSL,No,No,No,No,No,No
3170-GWYKC,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1710-RCXUS,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
2673-CXQEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
3838-OZURD,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
4859-ZSRDZ,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
5795-BKOYE,Yes,No,DSL,No,Yes,Yes,Yes,No,No
2851-MMUTZ,Yes,No,DSL,No,Yes,No,Yes,No,No
9752-ZNQUT,Yes,No,DSL,No,Yes,No,No,No,No
6972-SNKKW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1329-VHWNP,No,No phone service,DSL,No,No,No,No,No,No
3999-QGRJH,Yes,No,Fiber optic,No,No,No,No,No,No
3466-BYAVD,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes
4568-TTZRT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4672-FOTSD,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No
8851-RAGOV,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes
0256-LTHVJ,Yes,No,Fiber optic,No,No,No,No,No,Yes
5278-PNYOX,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
3132-TVFDZ,No,No phone service,DSL,No,No,No,No,Yes,Yes
6924-TDGMT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2824-MYYBN,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
4289-DTDKW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
0017-DINOC,No,No phone service,DSL,Yes,No,No,Yes,Yes,No
4536-PLEQY,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
6402-EJMWF,Yes,No,DSL,No,No,No,No,No,Yes
1442-OKRJE,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
1459-QNFQT,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
6996-KNSML,Yes,No,Fiber optic,No,No,Yes,No,No,No
2239-JALAW,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3452-ABWRL,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
9231-ZJYAM,Yes,No,Fiber optic,No,No,No,No,Yes,No
7153-CHRBV,Yes,No,DSL,Yes,No,Yes,Yes,No,No
6833-JMZYP,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
5666-CYCYZ,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes
4425-OWHWB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1543-LLLFT,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No
6581-NQCBA,No,No phone service,DSL,No,No,No,Yes,Yes,Yes
8152-VETUR,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
9796-MVYXX,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
2842-JTCCU,Yes,No,DSL,No,No,No,No,No,No
0595-ITUDF,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
0219-QAERP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8226-BXGES,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
3090-HAWSU,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1136-XGEQU,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
6732-FZUGP,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No
3401-URHDA,Yes,Yes,DSL,Yes,No,No,Yes,No,No
0365-TRTPY,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
4654-DLAMQ,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
8847-GEOOQ,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
3030-ZKIWL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6727-IOTLZ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
6960-HVYXR,Yes,Yes,Fiber optic,No,No,No,No,No,No
0378-NHQXU,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
0565-JUPYD,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No
4625-XMOYM,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7663-ZTEGJ,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes
1402-PTHGN,Yes,No,DSL,Yes,Yes,No,Yes,No,No
7657-DYEPJ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No
3523-BRGUW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0100-DUVFC,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2026-TGDHM,Yes,No,Fiber optic,No,No,No,No,No,Yes
9746-UGFAC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1042-HFUCW,Yes,No,DSL,No,Yes,No,Yes,No,No
1153-GNOLC,No,No phone service,DSL,No,Yes,No,No,Yes,No
0576-WNXXC,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
6906-ANDWJ,Yes,Yes,Fiber optic,No,No,No,No,No,No
1022-RKXDR,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7123-WQUHX,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
5857-TYBCJ,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
7729-XBTWX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3978-YNKDD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9170-CCKOU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
1475-VWVDO,Yes,No,Fiber optic,No,No,Yes,No,No,No
7108-DGVUU,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes
2533-QVMSK,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No
7339-POGZN,Yes,Yes,DSL,No,No,No,No,No,No
6848-YLDFR,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes
2898-LSJGD,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes
3507-GASNP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7799-LGRDP,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5373-SFODM,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
7733-UDMTP,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes
2801-NISEI,Yes,No,DSL,Yes,No,No,Yes,No,No
4378-MYPGO,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
0129-KPTWJ,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
0373-AIVNJ,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
8414-OOEEL,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
8541-QVFKM,Yes,Yes,Fiber optic,No,No,No,No,No,No
2931-XIQBR,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
5652-MSDEY,Yes,Yes,Fiber optic,No,No,No,No,No,No
2586-CWXVV,No,No phone service,DSL,No,Yes,No,No,No,No
8058-INTPH,Yes,No,Fiber optic,No,No,No,No,Yes,No
2798-NYLMZ,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
0880-TKATG,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
9342-VNIMQ,Yes,Yes,DSL,No,Yes,No,No,No,No
7779-LGOVN,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
2192-CKRLV,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes
6982-UQZLY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8441-SHIPE,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8212-CRQXP,Yes,No,Fiber optic,No,No,No,No,Yes,No
3009-JWMPU,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
0623-IIHUG,No,No phone service,DSL,Yes,No,No,No,Yes,No
2632-IVXVF,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
0655-RBDUG,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1867-TJHTS,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
0027-KWYKW,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
1131-QQZEB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5651-CRHKQ,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No
1371-DWPAZ,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
1194-BHJYC,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
0572-ZJKLT,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes
2928-HLDBA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2645-QTLMB,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
0491-KAPQG,Yes,Yes,Fiber optic,No,No,No,No,No,No
3793-MMFUH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
0578-SKVMF,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
1025-FALIX,Yes,No,Fiber optic,No,No,No,No,No,No
7880-XSOJX,No,No phone service,DSL,Yes,Yes,No,Yes,No,No
5799-JRCZO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0495-ZBNGW,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
9970-QBCDA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7271-AJDTL,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
7833-PKIHD,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
5791-KAJFD,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes
8499-BRXTD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0853-TWRVK,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
4456-RHSNB,Yes,No,DSL,No,No,Yes,No,No,No
9809-IMGCQ,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
2073-QBVBI,No,No phone service,DSL,No,Yes,No,Yes,No,No
1257-SXUXQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6169-PGNCD,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No
2692-BUCFV,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
1644-IRKSF,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
1304-SEGFY,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
9777-WJJPR,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
5732-IKGQH,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1757-TCATG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8314-HTWVE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2087-QAREY,Yes,No,DSL,No,Yes,Yes,No,No,No
4229-CZMLL,Yes,Yes,Fiber optic,No,No,No,No,No,No
4940-KHCWD,No,No phone service,DSL,Yes,Yes,No,Yes,No,No
1834-WULEG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6360-SVNWV,Yes,No,Fiber optic,Yes,No,No,No,No,No
5226-NOZFC,Yes,No,Fiber optic,No,Yes,No,No,Yes,No
1062-LHZOD,Yes,No,Fiber optic,No,No,No,No,No,No
1106-HRLKZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7094-MSZAO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0613-WUXUM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8806-EAGWC,Yes,No,DSL,No,No,No,No,Yes,No
6769-DYBQN,Yes,No,Fiber optic,Yes,No,No,No,No,Yes
2408-TZMJL,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
1996-DBMUS,Yes,No,Fiber optic,No,No,No,No,No,No
6323-AYBRX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1432-FPAXX,No,No phone service,DSL,No,Yes,No,No,No,No
4160-AMJTL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3352-RICWQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2680-XKKNJ,Yes,No,DSL,Yes,Yes,No,Yes,No,No
8182-BJDSI,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
1389-WNUIB,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes
4612-THJBS,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
1530-ZTDOZ,No,No phone service,DSL,Yes,No,No,No,Yes,No
5842-POCOP,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes
9492-TOKRI,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
0795-LAFGP,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0611-DFXKO,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
8035-BUYVG,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
