customerID,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
3398-FSHON,Month-to-month,Yes,Electronic check,91.3,1094.5
9139-TWBAS,One year,No,Bank transfer (automatic),47.85,1190.5
0929-HYQEW,Month-to-month,Yes,Mailed check,50.15,160.85
0487-CRLZF,Two year,Yes,Bank transfer (automatic),74.45,3721.9
0454-OKRCT,Two year,No,Bank transfer (automatic),80.6,2651.1
2347-WKKAE,Month-to-month,Yes,Electronic check,94.4,4014.6
6663-JOCQO,One year,Yes,Bank transfer (automatic),75.25,2344.5
1297-VQDRP,One year,Yes,Credit card (automatic),107.15,7379.8
4868-AADLV,One year,Yes,Electronic check,116.25,7862.25
0788-DXBFY,One year,Yes,Electronic check,19.55,1108.8
5845-BZZIB,Two year,No,Mailed check,20.1,655.3
7310-EGVHZ,Month-to-month,No,Bank transfer (automatic),20.2,20.2
4826-TZEVA,Month-to-month,No,Credit card (automatic),74.8,2971.7
4080-IIARD,Month-to-month,Yes,Electronic check,76.2,981.45
7672-VFMXZ,Month-to-month,No,Electronic check,55.7,3171.6
9940-RHLFB,Month-to-month,No,Electronic check,75.3,75.3
9117-SHLZX,Month-to-month,Yes,Mailed check,45.7,45.7
7253-UVNDW,Two year,No,Credit card (automatic),54.35,2460.15
9898-KZQDZ,Month-to-month,Yes,Credit card (automatic),94.55,3640.45
8559-CIZFV,One year,No,Mailed check,77.5,1625
2506-CLAKW,Month-to-month,Yes,Bank transfer (automatic),98.15,567.45
8591-TKMZH,Two year,Yes,Mailed check,111.1,6555.2
4925-LMHOK,Month-to-month,Yes,Credit card (automatic),58.6,939.7
4971-PUYQO,Month-to-month,Yes,Mailed check,94.55,2724.6
0186-CAERR,One year,Yes,Bank transfer (automatic),116.3,8309.55
6233-HXJMX,Month-to-month,Yes,Credit card (automatic),89.3,4192.15
9367-OIUXP,Month-to-month,No,Mailed check,20.7,73.05
4588-YBNIB,Month-to-month,Yes,Mailed check,19.6,19.6
6467-CHFZW,Month-to-month,Yes,Electronic check,99.35,4749.15
8148-BPLZQ,Month-to-month,Yes,Electronic check,49.8,1734.2
0557-ASKVU,One year,Yes,Credit card (automatic),54.4,957.1
3354-OADJP,One year,No,Bank transfer (automatic),54.25,447.75
2259-OUUSZ,One year,Yes,Credit card (automatic),35.5,249.55
4919-IKATY,Month-to-month,Yes,Electronic check,84.5,453.75
4328-VUFWD,One year,No,Electronic check,59.3,2209.15
8681-ICONS,Month-to-month,Yes,Mailed check,20.65,654.85
2232-DMLXU,Month-to-month,No,Mailed check,55.2,55.2
6447-GORXK,Month-to-month,No,Credit card (automatic),25.0,789.2
1777-JYQPJ,Month-to-month,No,Mailed check,24.3,38.45
6685-GBWJZ,One year,No,Credit card (automatic),70.8,4448.8
3955-JBZZM,Month-to-month,No,Electronic check,78.8,1641.3
5197-LQXXH,Two year,Yes,Credit card (automatic),83.3,5894.5
5993-JSUWV,Two year,Yes,Bank transfer (automatic),61.15,4017.45
2219-MVUSO,Month-to-month,Yes,Mailed check,45.15,438.4
3158-MOERK,Month-to-month,Yes,Electronic check,96.0,174.8
3594-KADLU,Month-to-month,No,Mailed check,35.1,101.1
0932-YIXYU,Two year,No,Credit card (automatic),20.25,1029.8
8348-HFYIV,Month-to-month,Yes,Electronic check,49.25,90.35
8687-BAFGU,Month-to-month,No,Electronic check,74.0,74
7353-YOWFP,One year,No,Mailed check,20.25,129.15
6837-HAEVO,Two year,Yes,Electronic check,105.0,7297.75
6734-GMPVK,Month-to-month,No,Electronic check,105.3,550.6
7602-DBTOU,Two year,No,Mailed check,19.6,1416.5
9894-EZEWG,Month-to-month,Yes,Credit card (automatic),74.3,74.3
1670-SVOWZ,Month-to-month,Yes,Credit card (automatic),89.65,1208.35
9142-XMYJH,Month-to-month,No,Credit card (automatic),19.35,601.6
5893-PYOLZ,Two year,Yes,Credit card (automatic),81.8,4534.45
3319-DWOEP,Month-to-month,Yes,Electronic check,95.75,573.75
9514-JDSKI,Month-to-month,No,Electronic check,40.2,40.2
7432-FFVAR,One year,No,Bank transfer (automatic),90.95,4236.6
4329-YPDDQ,Month-to-month,Yes,Bank transfer (automatic),108.2,2203.7
2860-RANUS,Month-to-month,Yes,Credit card (automatic),85.8,1727.5
8696-JKZNU,Month-to-month,Yes,Electronic check,76.25,2841.55
1089-XZWHH,Two year,Yes,Mailed check,19.7,494.05
4831-EOBFE,Month-to-month,No,Credit card (automatic),94.65,2649.15
4423-YLHDV,Month-to-month,Yes,Bank transfer (automatic),104.4,2200.25
5449-FIBXJ,Month-to-month,No,Electronic check,103.3,2012.7
8144-DGHXP,Two year,No,Electronic check,80.6,4299.95
6598-RFFVI,One year,No,Credit card (automatic),19.3,28.3
3096-JRDSO,Month-to-month,Yes,Bank transfer (automatic),104.3,2867.75
5862-BRIXZ,Two year,Yes,Bank transfer (automatic),60.75,2893.4
1057-FOGLZ,Month-to-month,No,Mailed check,19.65,391.7
9371-BITHB,Two year,No,Mailed check,19.85,1070.5
4580-TMHJU,Month-to-month,No,Electronic check,56.15,2499.3
0178-CIIKR,Month-to-month,No,Mailed check,19.95,58
9348-YVOMK,Month-to-month,Yes,Credit card (automatic),44.8,176.2
8417-FMLZI,Month-to-month,Yes,Credit card (automatic),83.55,477.55
6851-WEFYX,Month-to-month,Yes,Electronic check,100.8,3437.5
8181-YHCMF,Two year,No,Credit card (automatic),60.3,4109
7548-SEPYI,Month-to-month,Yes,Electronic check,96.25,512.45
0374-IOEGQ,Month-to-month,No,Electronic check,44.6,122.7
0581-BXBUB,Month-to-month,No,Electronic check,72.75,317.75
9350-ZXYJC,Two year,Yes,Credit card (automatic),25.3,116.95
8642-GVWRF,Month-to-month,No,Bank transfer (automatic),79.7,165
2931-SVLTV,Month-to-month,Yes,Credit card (automatic),110.1,4469.1
5183-SNMJQ,Month-to-month,Yes,Credit card (automatic),95.1,865.1
7278-CKDNC,Month-to-month,Yes,Electronic check,80.5,2088.45
8024-XNAFQ,Two year,Yes,Bank transfer (automatic),107.4,7748.75
5480-TBGPH,Month-to-month,Yes,Credit card (automatic),99.3,2431.35
7301-ABVAD,Two year,No,Bank transfer (automatic),86.6,6350.5
4678-DVQEO,Month-to-month,Yes,Electronic check,52.2,52.2
9415-DPEWS,Month-to-month,Yes,Electronic check,88.35,1639.3
3748-FVMZZ,Month-to-month,Yes,Electronic check,40.05,162.45
5281-BUZGT,Month-to-month,Yes,Electronic check,90.85,3186.7
5879-SESNB,Month-to-month,No,Electronic check,75.25,888.65
1820-TQVEV,Month-to-month,Yes,Electronic check,69.55,69.55
9003-CPATH,Month-to-month,No,Electronic check,79.9,3313.4
1268-ASBGA,,Yes,Credit card (automatic),85.35,1375.15
6655-LHBYW,One year,No,Credit card (automatic),114.35,5791.1
9227-LUNBG,Month-to-month,No,Electronic check,24.6,24.6
9418-RUKPH,Two year,Yes,Mailed check,19.95,756.4
0537-QYZZN,Month-to-month,Yes,Electronic check,79.85,1857.75
8734-FNWVH,Month-to-month,No,Bank transfer (automatic),59.7,1825.5
4801-KFYKL,Month-to-month,No,Bank transfer (automatic),19.45,159.2
8327-LZKAS,One year,Yes,Electronic check,107.55,4533.9
4188-PCPIG,Two year,Yes,Credit card (automatic),70.35,4124.65
1843-TLSGD,Two year,No,Mailed check,20.85,272.35
6906-MPARY,One year,Yes,Credit card (automatic),89.6,3488.15
6082-OQFBA,One year,No,Mailed check,19.65,436.9
3544-FBCAS,Two year,Yes,Credit card (automatic),83.6,5959.3
8034-RYTVV,One year,Yes,Credit card (automatic),84.25,4589.85
7130-YXBRO,Month-to-month,Yes,Bank transfer (automatic),111.45,5315.1
1157-BQCUW,Month-to-month,Yes,Electronic check,74.95,74.95
9445-SZLCH,Month-to-month,Yes,Bank transfer (automatic),97.35,3457.9
1399-UBQIU,Month-to-month,Yes,Electronic check,69.35,712.25
4912-PIGUY,Month-to-month,Yes,Electronic check,84.6,84.6
1323-OOEPC,Month-to-month,Yes,Credit card (automatic),98.4,5149.5
3181-VTHOE,One year,Yes,Bank transfer (automatic),51.05,3635.15
8272-ONJLV,One year,No,Electronic check,95.7,1184
3647-GMGDH,Month-to-month,Yes,Credit card (automatic),94.7,1914.9
1303-SRDOK,Two year,Yes,Credit card (automatic),69.05,3842.6
7361-YPXFS,Month-to-month,No,Bank transfer (automatic),64.45,1867.6
3359-DSRKA,Two year,Yes,Mailed check,19.85,1158.85
6746-WAUWT,One year,Yes,Credit card (automatic),19.7,386.5
4659-NZRUF,Month-to-month,Yes,Electronic check,95.15,1789.25
9518-IMLHK,Month-to-month,Yes,Bank transfer (automatic),72.45,2156.25
3374-LXDEV,Month-to-month,No,Electronic check,89.4,1132.35
5356-RHIPP,Month-to-month,Yes,Mailed check,20.2,20.2
1122-JWTJW,Month-to-month,Yes,Mailed check,70.65,70.65
0650-BWOZN,Month-to-month,Yes,Electronic check,73.55,1359.45
5546-QUERU,One year,Yes,Mailed check,19.95,257
8610-ZIKJJ,One year,No,Mailed check,20.3,31.9
8590-YFFQO,Two year,No,Credit card (automatic),64.95,4523.25
2428-HYUNX,Two year,Yes,Credit card (automatic),19.35,847.25
7219-TLZHO,Month-to-month,No,Mailed check,20.85,62.9
2649-HWLYB,Two year,No,Bank transfer (automatic),76.15,4929.55
8065-QBYTO,One year,Yes,Credit card (automatic),99.65,7181.25
8259-DZLIZ,One year,Yes,Bank transfer (automatic),53.85,3399.85
3348-CFRNX,Month-to-month,Yes,Mailed check,92.35,2602.9
8245-UMPYT,Month-to-month,Yes,Electronic check,96.4,
1555-DJEQW,Two year,Yes,Bank transfer (automatic),114.2,7723.9
7776-QGYJC,Month-to-month,Yes,Bank transfer (automatic),81.5,3107.3
2828-SLQPF,Month-to-month,Yes,Bank transfer (automatic),45.0,865.85
3170-GWYKC,Month-to-month,Yes,Bank transfer (automatic),104.95,6236.75
1710-RCXUS,One year,Yes,Credit card (automatic),90.35,4614.55
2673-CXQEU,One year,No,Electronic check,110.5,6139.5
3838-OZURD,Month-to-month,Yes,Credit card (automatic),105.0,7133.25
4859-ZSRDZ,Two year,Yes,Credit card (automatic),55.5,3166.9
5795-BKOYE,One year,No,Bank transfer (automatic),59.1,4134.7
2851-MMUTZ,Month-to-month,Yes,Mailed check,56.15,1439.35
9752-ZNQUT,Month-to-month,Yes,Electronic check,48.6,48.6
6972-SNKKW,Month-to-month,No,Mailed check,20.0,109.2
1329-VHWNP,Month-to-month,No,Bank transfer (automatic),25.05,189.95
3999-QGRJH,Month-to-month,Yes,Electronic check,69.7,560.85
3466-BYAVD,Month-to-month,Yes,Mailed check,69.5,1071.4
4568-TTZRT,Month-to-month,No,Mailed check,20.4,181.8
4672-FOTSD,Month-to-month,Yes,Electronic check,67.25,832.3
8851-RAGOV,Month-to-month,Yes,Mailed check,71.05,1837.7
0256-LTHVJ,Month-to-month,Yes,Electronic check,81.05,2227.1
5278-PNYOX,Two year,No,Credit card (automatic),100.65,4917.75
3132-TVFDZ,Month-to-month,Yes,Electronic check,44.85,2572.95
6924-TDGMT,One year,Yes,Mailed check,20.55,184.95
2824-MYYBN,Month-to-month,Yes,Electronic check,95.25,3314.15
4289-DTDKW,Month-to-month,Yes,Electronic check,101.3,
0017-DINOC,Two year,No,Credit card (automatic),45.2,2460.55
4536-PLEQY,Month-to-month,Yes,Credit card (automatic),85.05,999.8
6402-EJMWF,Month-to-month,Yes,Mailed check,55.3,238.5
1442-OKRJE,One year,Yes,Bank transfer (automatic),103.15,7031.3
1459-QNFQT,Two year,No,Bank transfer (automatic),59.5,4144.8
6996-KNSML,Month-to-month,Yes,Electronic check,74.9,74.9
2239-JALAW,One year,Yes,Bank transfer (automatic),103.25,6017.65
3452-ABWRL,Month-to-month,Yes,Credit card (automatic),86.05,3865.6
9231-ZJYAM,Month-to-month,Yes,Electronic check,78.85,292.8
7153-CHRBV,One year,Yes,Mailed check,59.3,3274.35
6833-JMZYP,Month-to-month,Yes,Credit card (automatic),94.0,1505.45
5666-CYCYZ,Month-to-month,Yes,Electronic check,89.55,2259.35
4425-OWHWB,One year,Yes,Credit card (automatic),19.35,433.75
1543-LLLFT,One year,Yes,Mailed check,98.3,6066.55
6581-NQCBA,Month-to-month,Yes,Electronic check,49.95,810.2
8152-VETUR,Two year,Yes,Credit card (automatic),97.7,6869.7
9796-MVYXX,Two year,No,Mailed check,39.7,692.35
2842-JTCCU,Month-to-month,No,Bank transfer (automatic),46.05,80.35
0595-ITUDF,Month-to-month,Yes,Electronic check,91.8,5960.5
0219-QAERP,One year,No,Credit card (automatic),19.8,576.65
8226-BXGES,One year,No,Bank transfer (automatic),89.45,5692.65
3090-HAWSU,Two year,Yes,Credit card (automatic),111.6,6876.05
1136-XGEQU,One year,Yes,Credit card (automatic),84.15,4164.4
6732-FZUGP,One year,No,Credit card (automatic),94.9,4615.25
3401-URHDA,One year,No,Credit card (automatic),59.9,3043.6
0365-TRTPY,Month-to-month,No,Bank transfer (automatic),91.2,3382.3
4654-DLAMQ,One year,No,Bank transfer (automatic),97.0,6430.9
8847-GEOOQ,Month-to-month,Yes,Bank transfer (automatic),60.2,3582.4
3030-ZKIWL,Month-to-month,No,Mailed check,20.05,20.05
6727-IOTLZ,Two year,No,Mailed check,81.95,1181.75
6960-HVYXR,Month-to-month,No,Electronic check,76.0,76
0378-NHQXU,Month-to-month,No,Electronic check,88.25,1460.65
0565-JUPYD,One year,No,Credit card (automatic),104.5,6590.8
4625-XMOYM,Two year,Yes,Bank transfer (automatic),26.25,1988.05
7663-ZTEGJ,One year,No,Credit card (automatic),100.55,2830.45
1402-PTHGN,One year,Yes,Mailed check,61.5,1087.45
7657-DYEPJ,One year,Yes,Credit card (automatic),70.15,2497.35
3523-BRGUW,One year,No,Credit card (automatic),19.3,504.2
0100-DUVFC,One year,Yes,Electronic check,104.8,7308.95
2026-TGDHM,Month-to-month,Yes,Electronic check,79.3,523.15
9746-UGFAC,One year,No,Bank transfer (automatic),20.85,450.65
1042-HFUCW,One year,Yes,Credit card (automatic),54.75,1266.35
1153-GNOLC,One year,Yes,Electronic check,39.1,1309
0576-WNXXC,Month-to-month,Yes,Electronic check,95.55,2510.2
6906-ANDWJ,Month-to-month,Yes,Bank transfer (automatic),74.9,1107.25
1022-RKXDR,One year,Yes,Mailed check,24.85,962.25
7123-WQUHX,One year,No,Bank transfer (automatic),95.0,3605.6
5857-TYBCJ,Month-to-month,Yes,,89.2,4040.2
7729-XBTWX,Two year,,Mailed check,19.75,1344.5
3978-YNKDD,Two year,No,Credit card (automatic),20.85,467.5
9170-CCKOU,Month-to-month,No,Credit card (automatic),90.2,1454.15
1475-VWVDO,Month-to-month,Yes,Electronic check,74.9,490.55
7108-DGVUU,One year,No,Bank transfer (automatic),71.7,1497.05
2533-QVMSK,Two year,Yes,Electronic check,94.1,5638.3
7339-POGZN,Month-to-month,No,Electronic check,50.7,214.55
6848-YLDFR,One year,Yes,Credit card (automatic),75.2,4300.8
2898-LSJGD,One year,Yes,Electronic check,55.95,1157.05
3507-GASNP,Two year,No,Mailed check,19.95,1189.9
7799-LGRDP,Two year,Yes,Credit card (automatic),25.7,1188.2
5373-SFODM,Month-to-month,Yes,Credit card (automatic),85.25,3132.75
7733-UDMTP,Month-to-month,Yes,Electronic check,55.0,3094.05
2801-NISEI,Month-to-month,No,Electronic check,54.95,1348.5
4378-MYPGO,Two year,Yes,Bank transfer (automatic),105.25,7173.15
0129-KPTWJ,Month-to-month,Yes,Electronic check,94.65,6747.35
0373-AIVNJ,One year,No,Mailed check,39.55,373
8414-OOEEL,Two year,Yes,Credit card (automatic),79.5,5196.1
8541-QVFKM,Month-to-month,Yes,Electronic check,73.5,632.2
2931-XIQBR,One year,No,Mailed check,103.05,5153.5
5652-MSDEY,Month-to-month,Yes,Mailed check,75.75,777.3
2586-CWXVV,Month-to-month,No,Electronic check,30.4,1621.35
8058-INTPH,Month-to-month,Yes,Electronic check,79.65,79.65
2798-NYLMZ,Two year,Yes,Credit card (automatic),108.55,7616
0880-TKATG,Month-to-month,No,Electronic check,101.15,385.9
9342-VNIMQ,Month-to-month,Yes,Bank transfer (automatic),54.65,1665.2
7779-LGOVN,Month-to-month,Yes,Electronic check,86.65,856.65
2192-CKRLV,Two year,Yes,Electronic check,49.2,3580.95
6982-UQZLY,Month-to-month,Yes,Mailed check,20.85,20.85
8441-SHIPE,Two year,Yes,,25.6,1790.35
8212-CRQXP,Month-to-month,Yes,Credit card (automatic),80.0,1706.45
3009-JWMPU,One year,Yes,Electronic check,96.75,6125.4
0623-IIHUG,Month-to-month,Yes,Electronic check,41.9,840.1
2632-IVXVF,Two year,No,Credit card (automatic),111.75,7511.3
0655-RBDUG,Month-to-month,Yes,Bank transfer (automatic),98.05,713
1867-TJHTS,Month-to-month,Yes,Bank transfer (automatic),79.8,4526.85
0027-KWYKW,Month-to-month,Yes,Electronic check,83.75,1849.95
1131-QQZEB,Two year,No,Bank transfer (automatic),23.95,1756.2
5651-CRHKQ,One year,Yes,Bank transfer (automatic),86.2,3339.05
1371-DWPAZ,Two year,No,Credit card (automatic),56.05, 
1194-BHJYC,Two year,Yes,Mailed check,62.15,3778.85
0572-ZJKLT,Two year,No,Mailed check,99.65,4630.2
2928-HLDBA,Month-to-month,No,Mailed check,20.7,112.75
2645-QTLMB,Month-to-month,Yes,Electronic check,94.25,669
0491-KAPQG,Month-to-month,Yes,Electronic check,73.7,1558.7
3793-MMFUH,Month-to-month,Yes,Electronic check,95.05,1290
0578-SKVMF,Month-to-month,No,Electronic check,83.3,1845.9
1025-FALIX,Month-to-month,Yes,Credit card (automatic),69.05,1815.65
7880-XSOJX,Month-to-month,No,Mailed check,42.4,146.4
5799-JRCZO,Two year,No,Credit card (automatic),19.5,1215.1
0495-ZBNGW,Month-to-month,Yes,Bank transfer (automatic),79.9,343.95
9970-QBCDA,Month-to-month,No,Credit card (automatic),19.7,129.55
7271-AJDTL,Month-to-month,Yes,Credit card (automatic),94.45,5073.1
7833-PKIHD,One year,Yes,Bank transfer (automatic),76.4,3966.3
5791-KAJFD,One year,Yes,Bank transfer (automatic),68.75,3808
8499-BRXTD,One year,No,Mailed check,20.1,401.85
0853-TWRVK,Two year,No,Bank transfer (automatic),105.6,7581.5
4456-RHSNB,Month-to-month,Yes,Bank transfer (automatic),49.6,962.9
9809-IMGCQ,Month-to-month,Yes,Electronic check,96.7,2082.95
2073-QBVBI,One year,No,Mailed check,35.45,1391.65
1257-SXUXQ,Month-to-month,No,Mailed check,19.45,86.05
6169-PGNCD,Two year,Yes,Credit card (automatic),74.3,4166.35
2692-BUCFV,Month-to-month,Yes,Bank transfer (automatic),101.45,2948.6
1644-IRKSF,One year,Yes,Electronic check,93.8,3124.5
1304-SEGFY,Two year,Yes,Electronic check,97.85,6841.3
9777-WJJPR,Month-to-month,No,Credit card (automatic),88.65,2683.2
5732-IKGQH,One year,Yes,Bank transfer (automatic),104.45,5481.25
1757-TCATG,One year,No,Bank transfer (automatic),20.05,746.75
8314-HTWVE,Two year,No,Mailed check,19.85,144.15
2087-QAREY,Month-to-month,Yes,Mailed check,54.7,1178.75
4229-CZMLL,Month-to-month,Yes,Electronic check,74.9,469.8
4940-KHCWD,Two year,No,Bank transfer (automatic),37.7,2288.7
1834-WULEG,One year,No,Mailed check,20.25,439.75
6360-SVNWV,Month-to-month,Yes,Credit card (automatic),73.55,2094.65
5226-NOZFC,Month-to-month,Yes,Electronic check,85.75,2146.5
1062-LHZOD,Month-to-month,Yes,Mailed check,69.9,69.9
1106-HRLKZ,Two year,No,Mailed check,19.6,808.95
7094-MSZAO,Month-to-month,Yes,Credit card (automatic),20.05,218.5
0613-WUXUM,Two year,Yes,Mailed check,19.2,1401.4
8806-EAGWC,Month-to-month,No,Mailed check,55.15,159.15
6769-DYBQN,Month-to-month,No,Electronic check,85.0,3969.4
2408-TZMJL,One year,Yes,Electronic check,110.15,6448.05
1996-DBMUS,,Yes,Bank transfer (automatic),70.65,3545.05
6323-AYBRX,Two year,No,Mailed check,19.35,1099.6
1432-FPAXX,Month-to-month,Yes,Electronic check,30.6,856.35
4160-AMJTL,Month-to-month,No,Electronic check,19.65,164.3
3352-RICWQ,Two year,No,Mailed check,19.75,210.65
2680-XKKNJ,One year,No,Bank transfer (automatic),58.2,469.25
8182-BJDSI,Month-to-month,Yes,Electronic check,89.95,2625.55
1389-WNUIB,One year,No,Bank transfer (automatic),76.0,1588.75
4612-THJBS,One year,Yes,Bank transfer (automatic),104.75,5510.65
1530-ZTDOZ,Month-to-month,No,Bank transfer (automatic),40.65,2070.75
5842-POCOP,Month-to-month,Yes,Mailed check,88.9,454.15
9492-TOKRI,Month-to-month,Yes,Credit card (automatic),90.0,1527.35
0795-LAFGP,Two year,No,Electronic check,90.4,6668.05
0611-DFXKO,Month-to-month,Yes,Mailed check,89.0,1820.45
8035-BUYVG,One year,Yes,Electronic check,42.35,1716.45
6620-JDYNW,Month-to-month,Yes,Mailed check,60.6,1156.35
8590-OHDIW,One year,No,Mailed check,20.3,749.35
5897-ZYEKH,One year,Yes,Electronic check,105.6,7112.15
5084-OOVCJ,Month-to-month,Yes,Credit card (automatic),55.35,920.5
1740-CSDJP,Month-to-month,Yes,Bank transfer (automatic),35.25,35.25
2696-RZVZW,Two year,No,Credit card (automatic),25.05,1629.2
9450-TRJUU,Month-to-month,No,Electronic check,83.15,2848.45
4581-SSPWD,Month-to-month,Yes,Electronic check,75.8,246.3
4813-HQMGZ,Month-to-month,Yes,Electronic check,90.25,743.75
4903-CNOZC,One year,No,Credit card (automatic),70.9,1964.6
0822-GAVAP,Month-to-month,Yes,Electronic check,34.7,62.25
3055-OYMSE,Month-to-month,Yes,Credit card (automatic),73.8,4003.85
7242-QZLXF,Month-to-month,Yes,Electronic check,25.3,25.3
8325-QRPZR,Month-to-month,Yes,Electronic check,75.15,525
7874-ECPQJ,Month-to-month,Yes,Bank transfer (automatic),20.05,85.5
2476-YGEFM,Month-to-month,Yes,Credit card (automatic),76.0,2215.25
2276-YDAVZ,Month-to-month,Yes,Credit card (automatic),75.1,270.7
0661-XEYAN,Month-to-month,Yes,Mailed check,25.8,25.8
1397-XKKWR,One year,No,Mailed check,35.3,264.8
9249-FXSCK,One year,Yes,Credit card (automatic),111.25,5916.45
4718-WXBGI,Two year,Yes,Credit card (automatic),91.95,6614.9
0486-HECZI,Month-to-month,Yes,Electronic check,96.75,5238.9
7291-CDTMJ,Month-to-month,Yes,Bank transfer (automatic),19.65,19.65
7196-LIWRH,Two year,No,Mailed check,19.55,124.45
0625-AFOHS,Two year,No,Mailed check,20.2,558.8
5656-MJEFC,Two year,,Credit card (automatic),48.15,2032.3
5640-CAXOA,One year,Yes,Credit card (automatic),40.35,1187.05
3946-MHCZW,Month-to-month,No,Mailed check,50.9,50.9
8374-UULRV,Two year,No,Credit card (automatic),86.05,6309.65
2108-YKQTY,Month-to-month,No,Credit card (automatic),50.7,151.3
2862-PFNIK,Month-to-month,Yes,Electronic check,24.7,24.7
2856-HYAPG,Month-to-month,No,,68.65,68.65
3707-GNWHM,Month-to-month,Yes,Mailed check,74.25,74.25
2363-BJLSL,Month-to-month,Yes,Bank transfer (automatic),80.4,4981.15
3663-MITLP,Month-to-month,Yes,Electronic check,101.25,1457.25
3373-YZZYM,Month-to-month,No,Mailed check,19.2,19.2
5848-FHRFC,Two year,No,Bank transfer (automatic),20.05,1386.9
0840-DFEZH,Month-to-month,Yes,Electronic check,75.35,564.65
5879-HMFFH,Two year,No,Bank transfer (automatic),88.05,6520.8
4723-BEGSG,Two year,No,Credit card (automatic),86.65,6094.25
3976-BWUCK,,Yes,Credit card (automatic),94.1,2804.45
7120-RFMVS,Month-to-month,No,Electronic check,84.5,84.5
8292-FRFZQ,One year,No,Bank transfer (automatic),41.15,1700.9
9480-BQJEI,One year,Yes,Bank transfer (automatic),92.3,5731.45
4350-ZTLPI,One year,Yes,Bank transfer (automatic),108.95,5718.2
3763-GCZHZ,One year,Yes,Electronic check,104.05,6890
1658-XUHBX,Month-to-month,Yes,Credit card (automatic),88.75,5348.65
2507-QZPQS,Month-to-month,No,Electronic check,95.7,1451.1
0564-JJHGS,Month-to-month,Yes,Electronic check,95.5,829.1
9750-BOOHV,One year,No,Mailed check,30.15,927.65
8773-HHUOZ,Month-to-month,Yes,Mailed check,64.7,
1335-MXCSE,Two year,Yes,Credit card (automatic),55.25,3119.9
6029-CSMJE,Month-to-month,Yes,Mailed check,25.65,440.2
8707-RMEZH,One year,No,Credit card (automatic),87.3,6055.55
0771-CHWSK,Two year,Yes,Credit card (automatic),74.6,4798.4
3703-KBKZP,Month-to-month,Yes,Bank transfer (automatic),74.45,1261.35
9477-LGWQI,Two year,Yes,Credit card (automatic),80.15,5600.15
4893-GYUJU,One year,Yes,Mailed check,19.35,1033
2393-DIVAI,Month-to-month,Yes,Mailed check,20.0,61.7
0872-JCPIB,Month-to-month,No,Bank transfer (automatic),65.75,1111.2
9909-IDLEK,Month-to-month,No,Mailed check,96.8,1826.7
4086-WITJG,Two year,No,Credit card (automatic),19.7,1301.1
2874-YXVVA,Month-to-month,Yes,Electronic check,105.1,3634.8
0057-QBUQH,Two year,Yes,Electronic check,25.1,1070.15
4676-MQUEA,One year,Yes,Bank transfer (automatic),101.9,5265.5
0580-PIQHM,One year,Yes,Bank transfer (automatic),101.6,3930.55
5243-SAOTC,Month-to-month,Yes,Bank transfer (automatic),79.85,4308.25
8347-GDTMP,Two year,No,Credit card (automatic),19.45,1225.65
5012-YSPJJ,Month-to-month,No,Mailed check,54.35,1647
5288-AHOUP,Month-to-month,Yes,Electronic check,78.5,874.2
