customerID,gender,SeniorCitizen,Partner,Dependents
6972-SNKKW,Female,0,No,No
1329-VHWNP,Female,0,No,No
3999-QGRJH,Male,1,No,No
3466-BYAVD,Male,0,Yes,Yes
4568-TTZRT,Male,0,No,No
4672-FOTSD,Male,0,No,No
8851-RAGOV,Female,0,Yes,No
0256-LTHVJ,Female,0,Yes,Yes
5278-PNYOX,Female,0,No,No
3132-TVFDZ,Male,1,Yes,No
6924-TDGMT,Male,0,Yes,No
2824-MYYBN,Female,0,Yes,Yes
4289-DTDKW,Male,0,Yes,No
0017-DINOC,Male,0,No,No
4536-PLEQY,Male,0,Yes,No
6402-EJMWF,Male,0,No,No
1442-OKRJE,Male,0,Yes,Yes
1459-QNFQT,Male,0,Yes,Yes
6996-KNSML,Female,0,No,No
2239-JALAW,Male,0,No,No
3452-ABWRL,Male,1,No,No
9231-ZJYAM,Female,1,No,No
7153-CHRBV,Female,0,Yes,Yes
6833-JMZYP,Female,0,No,No
5666-CYCYZ,Female,0,No,No
4425-OWHWB,Female,0,No,No
1543-LLLFT,Male,1,Yes,No
6581-NQCBA,Female,0,Yes,No
8152-VETUR,Female,0,Yes,No
9796-MVYXX,Female,1,No,No
2842-JTCCU,Male,0,No,No
0595-ITUDF,Male,0,Yes,Yes
0219-QAERP,Male,0,Yes,No
8226-BXGES,Male,0,Yes,No
3090-HAWSU,Male,0,No,No
1136-XGEQU,Female,0,Yes,Yes
6732-FZUGP,Female,0,No,No
3401-URHDA,Male,0,No,No
0365-TRTPY,Female,0,No,No
4654-DLAMQ,Female,1,Yes,No
8847-GEOOQ,Male,0,Yes,No
3030-ZKIWL,Male,0,No,No
6727-IOTLZ,Male,0,Yes,No
6960-HVYXR,Female,0,No,No
0378-NHQXU,Female,0,Yes,Yes
0565-JUPYD,Male,0,No,No
4625-XMOYM,Female,0,Yes,Yes
7663-ZTEGJ,Male,0,No,Yes
7657-DYEPJ,Male,1,No,No
3523-BRGUW,Male,1,No,No
0100-DUVFC,Male,1,Yes,No
2026-TGDHM,Female,0,No,No
9746-UGFAC,Female,0,No,No
1042-HFUCW,Female,0,No,Yes
1153-GNOLC,Male,0,No,No
0576-WNXXC,Male,1,Yes,No
6906-ANDWJ,Male,0,Yes,Yes
1022-RKXDR,Female,0,No,No
7123-WQUHX,Male,0,No,No
5857-TYBCJ,Male,1,Yes,No
7729-XBTWX,Male,0,Yes,Yes
3978-YNKDD,Male,0,No,Yes
9170-CCKOU,Male,0,Yes,No
1475-VWVDO,Male,0,No,No
7108-DGVUU,Female,1,Yes,No
2533-QVMSK,Male,0,Yes,No
7339-POGZN,Female,0,No,No
6848-YLDFR,Male,0,Yes,Yes
2898-LSJGD,Female,0,Yes,Yes
3507-GASNP,Male,0,No,Yes
7799-LGRDP,Female,0,No,No
5373-SFODM,Male,1,Yes,No
7733-UDMTP,Female,1,No,No
2801-NISEI,Male,0,No,No
4378-MYPGO,Male,0,Yes,Yes
0129-KPTWJ,Male,0,Yes,No
0373-AIVNJ,Male,0,No,No
8414-OOEEL,Male,0,No,Yes
8541-QVFKM,Female,0,No,No
2931-XIQBR,Female,0,Yes,Yes
5652-MSDEY,Female,0,No,No
2586-CWXVV,Male,0,Yes,No
8058-INTPH,Female,0,No,No
2798-NYLMZ,Male,0,Yes,No
0880-TKATG,Male,0,Yes,Yes
9342-VNIMQ,Male,0,No,No
7779-LGOVN,Male,1,Yes,No
2192-CKRLV,Female,0,Yes,No
6982-UQZLY,Female,1,Yes,No
8441-SHIPE,Female,0,No,No
8212-CRQXP,Female,0,Yes,No
3009-JWMPU,Male,0,No,No
0623-IIHUG,Female,1,No,No
2632-IVXVF,Female,0,Yes,Yes
0655-RBDUG,Male,0,No,No
1867-TJHTS,Female,0,No,No
0027-KWYKW,Female,0,Yes,Yes
1131-QQZEB,Male,1,Yes,No
5651-CRHKQ,Female,0,Yes,No
1371-DWPAZ,Female,0,Yes,Yes
1194-BHJYC,Male,0,Yes,No
0572-ZJKLT,Female,0,Yes,Yes
2928-HLDBA,Female,0,No,No
2645-QTLMB,Male,0,No,No
0491-KAPQG,Male,0,No,No
3793-MMFUH,Female,1,No,No
0578-SKVMF,Female,0,Yes,Yes
1025-FALIX,Female,0,No,No
7880-XSOJX,Male,0,No,No
5799-JRCZO,Female,0,No,Yes
0495-ZBNGW,Male,1,Yes,No
9970-QBCDA,Female,0,No,No
7271-AJDTL,Female,0,Yes,No
8499-BRXTD,Male,0,No,No
0853-TWRVK,Male,0,Yes,No
4456-RHSNB,Female,0,Yes,Yes
9809-IMGCQ,Male,1,No,No
2073-QBVBI,Female,0,Yes,No
1257-SXUXQ,Male,0,Yes,Yes
6169-PGNCD,Female,0,No,No
2692-BUCFV,Male,1,No,No
1644-IRKSF,Female,0,Yes,Yes
1304-SEGFY,Female,0,Yes,No
9777-WJJPR,Male,0,Yes,No
5732-IKGQH,Male,1,Yes,No
1757-TCATG,Male,0,Yes,Yes
8314-HTWVE,Female,0,Yes,Yes
2087-QAREY,Female,0,Yes,No
4229-CZMLL,Male,0,No,No
4940-KHCWD,Female,0,Yes,No
6360-SVNWV,Female,1,No,No
5226-NOZFC,Male,0,No,No
1062-LHZOD,Male,0,Yes,Yes
7094-MSZAO,Male,0,Yes,Yes
0613-WUXUM,Female,0,Yes,Yes
8806-EAGWC,Male,0,No,No
6769-DYBQN,Male,1,No,No
6323-AYBRX,Male,0,No,No
1432-FPAXX,Female,0,No,No
4160-AMJTL,Female,1,No,No
3352-RICWQ,Female,0,Yes,Yes
2680-XKKNJ,Female,0,No,No
8182-BJDSI,Female,0,No,No
1389-WNUIB,Female,0,Yes,Yes
4612-THJBS,Female,1,No,No
1530-ZTDOZ,Female,0,Yes,No
5842-POCOP,Female,0,Yes,No
9492-TOKRI,Female,0,No,No
0795-LAFGP,Male,0,Yes,Yes
0611-DFXKO,Male,0,Yes,No
8035-BUYVG,Male,0,Yes,No
6620-JDYNW,Female,0,No,No
8590-OHDIW,Female,0,Yes,Yes
5897-ZYEKH,Female,1,Yes,No
5084-OOVCJ,Female,0,Yes,Yes
1740-CSDJP,Male,0,No,No
2696-RZVZW,Male,0,Yes,No
4581-SSPWD,Female,0,No,No
4813-HQMGZ,Female,0,Yes,No
4903-CNOZC,Male,0,No,No
0822-GAVAP,Female,0,No,No
7242-QZLXF,Male,0,No,Yes
8325-QRPZR,Female,0,No,No
7874-ECPQJ,Female,0,No,Yes
2476-YGEFM,Female,0,No,No
2276-YDAVZ,Female,0,No,No
0661-XEYAN,Female,1,No,No
1397-XKKWR,Male,0,No,No
9249-FXSCK,Female,0,No,No
4718-WXBGI,Male,0,Yes,Yes
0486-HECZI,Male,0,Yes,No
7291-CDTMJ,Male,0,No,No
7196-LIWRH,Female,0,No,No
0625-AFOHS,Female,0,Yes,Yes
5656-MJEFC,Male,0,Yes,Yes
5640-CAXOA,Female,0,No,No
3946-MHCZW,Male,0,No,No
8374-UULRV,Male,0,No,No
2108-YKQTY,Female,0,No,No
2862-PFNIK,Male,0,No,Yes
3707-GNWHM,Male,0,No,No
2363-BJLSL,Male,0,No,No
3663-MITLP,Female,0,No,No
3373-YZZYM,Male,0,Yes,Yes
5848-FHRFC,Female,0,No,No
0840-DFEZH,Female,0,No,No
5879-HMFFH,Female,0,Yes,No
4723-BEGSG,Male,0,Yes,No
3976-BWUCK,Female,0,Yes,No
8292-FRFZQ,Female,0,No,No
9480-BQJEI,Male,0,No,No
4350-ZTLPI,Female,0,Yes,No
3763-GCZHZ,Male,0,Yes,No
1658-XUHBX,Female,1,Yes,Yes
2507-QZPQS,Male,0,No,No
0564-JJHGS,Male,0,No,No
9750-BOOHV,Female,0,No,No
8773-HHUOZ,Female,0,No,Yes
1335-MXCSE,Male,0,Yes,Yes
6029-CSMJE,Male,0,No,No
0771-CHWSK,Male,0,No,No
3703-KBKZP,Male,1,No,No
9477-LGWQI,Male,0,Yes,Yes
4893-GYUJU,Female,0,No,No
2393-DIVAI,Female,0,No,No
0872-JCPIB,Male,0,No,No
9909-IDLEK,Male,0,Yes,Yes
4086-WITJG,Male,0,Yes,Yes
2874-YXVVA,Female,0,No,No
0057-QBUQH,Female,0,No,Yes
4676-MQUEA,Male,1,Yes,No
0580-PIQHM,Female,0,Yes,Yes
5243-SAOTC,Male,0,No,No
8347-GDTMP,Female,0,Yes,No
5288-AHOUP,Male,1,No,No
9867-XOBQA,Female,0,No,Yes
2511-ALLCS,Female,0,Yes,Yes
5578-NKCXI,Female,0,Yes,Yes
1223-UNPKS,Male,0,Yes,Yes
9087-EYCPR,Female,0,No,No
5924-SNGKP,Female,0,No,Yes
1101-SSWAG,Female,0,Yes,No
2003-CKLOR,Male,0,No,No
0679-IDSTG,Female,1,Yes,Yes
7729-JTEEC,Male,0,Yes,Yes
1550-LOAHA,Female,0,Yes,No
8336-TAVKX,Female,1,Yes,No
9114-VEPUF,Male,0,Yes,No
4767-HZZHQ,Male,0,Yes,Yes
0093-XWZFY,Male,0,No,No
5519-TEEUH,Male,0,No,Yes
1088-CNNKB,Male,0,Yes,No
1813-JLKWR,Female,0,Yes,Yes
4566-NECEV,Male,0,No,No
1009-IRMNA,Female,0,No,No
7410-OIEDU,Male,0,No,No
7549-MYGPK,Female,0,Yes,Yes
0056-EPFBG,Male,0,Yes,Yes
5032-USPKF,Female,0,No,No
6723-WSNTY,Female,1,Yes,No
7964-YESJC,Female,0,Yes,No
5995-SNNEW,Male,1,Yes,No
9904-EHEVJ,Female,1,Yes,Yes
7876-AEHIG,Female,0,No,Yes
4933-BSAIP,Female,0,Yes,No
2978-XXSOG,Female,0,No,No
2585-KTFRE,Male,0,No,Yes
6141-OOXUQ,Male,0,No,No
8189-DUKMV,Female,0,Yes,No
7752-XUSCI,Female,0,No,No
4334-HOWRP,Male,1,Yes,No
4445-KWOKW,Female,0,No,No
0541-FITGH,Female,0,Yes,No
8039-EQPIM,Male,0,Yes,No
6474-FVJLC,Male,0,No,No
3776-EKTKM,Female,1,No,No
7036-ZZKBD,Male,0,Yes,No
6696-YDAYZ,Male,0,Yes,Yes
6040-CGACY,Female,0,No,No
3006-XIMLN,Female,0,No,Yes
7668-XCFYV,Female,1,Yes,No
6101-IMRMM,Male,0,No,Yes
7839-NUIAA,Female,0,Yes,Yes
7302-ZHMHP,Female,0,No,No
5583-EJXRD,Male,0,Yes,Yes
7055-JCGNI,Female,0,No,No
8946-BFWSG,Male,0,Yes,Yes
7636-PEPNS,Female,0,Yes,Yes
7619-PLRLP,Female,0,Yes,No
2478-EEWWM,Male,0,Yes,No
6305-YLBMM,Male,0,No,No
4429-WYGFR,Male,0,No,No
6064-PUPMC,Male,0,Yes,Yes
1097-FSPVW,Female,0,No,No
9058-CBREO,Female,1,No,No
9239-ZBZZV,Female,0,No,No
9084-OAYKL,Male,0,No,No
5299-SJCZT,Male,0,No,No
5231-FIQPA,Female,0,No,No
7670-ZBPOQ,Female,0,Yes,No
8749-JMNKX,Male,1,Yes,No
2067-QYTCF,Female,0,Yes,No
3129-AAQOU,Female,0,Yes,Yes
1036-GUDCL,Male,0,Yes,Yes
5375-XLDOF,Male,0,Yes,Yes
3191-CSNMG,Female,0,Yes,Yes
3874-EQOEP,Male,0,No,No
7517-SAWMO,Female,0,Yes,No
2609-IAICY,Female,0,No,No
2632-TACXW,Female,0,Yes,No
3334-CTHOL,Female,0,No,No
6513-EECDB,Male,1,Yes,No
4945-RVMTE,Female,0,No,No
9589-ABEPT,Male,0,Yes,No
4248-HCETZ,Male,1,Yes,No
1862-SKORY,Female,1,Yes,No
1135-LMECX,Female,0,No,No
7881-INRLC,Male,0,No,No
7163-OCEQI,Male,0,Yes,Yes
4986-MXSFP,Female,0,No,No
8066-POXGX,Female,0,No,No
5025-GOOKI,Female,0,No,No
6425-JWTDV,Male,0,Yes,No
8402-EIVQS,Male,0,Yes,No
1325-USMEC,Male,0,Yes,No
4049-ZPALD,Female,0,Yes,No
6393-WRYZE,Female,0,Yes,No
1971-DTCZB,Female,0,Yes,No
1684-FLBGS,Female,0,Yes,Yes
7508-SMHXL,Female,1,No,No
8429-XIBUM,Male,0,No,No
6061-GWWAV,Male,0,No,Yes
5680-LQOGP,Female,0,No,No
6050-IJRHS,Female,0,Yes,Yes
0363-SVHYR,Male,0,Yes,Yes
6997-UVGOX,Male,0,Yes,Yes
5858-EAFCZ,Male,0,No,No
3583-EKAPL,Male,0,No,No
7764-BDPEE,Male,0,No,Yes
1685-BQULA,Female,0,No,No
3329-WDIOK,Female,0,No,No
1240-HCBOH,Female,0,No,No
2122-YWVYA,Female,0,No,No
2164-SOQXL,Female,0,Yes,Yes
9306-CPCBC,Female,0,No,No
8975-SKGRX,Male,0,Yes,No
2894-QOJRX,Female,0,Yes,No
0506-YLVKJ,Male,0,Yes,Yes
2007-QVGAW,Female,0,Yes,Yes
0253-ZTEOB,Female,0,Yes,Yes
4629-NRXKX,Female,0,Yes,Yes
8268-YDIXR,Male,0,Yes,No
1569-TTNYJ,Male,0,Yes,No
4090-KPJIP,Female,0,No,No
9224-VTYID,Male,0,Yes,Yes
3796-ENZGF,Male,0,Yes,No
0098-BOWSO,Male,0,No,No
1732-VHUBQ,Female,1,Yes,Yes
5075-JSDKI,Female,0,No,No
0620-XEFWH,Male,0,Yes,Yes
0164-APGRB,Female,0,No,No
9987-LUTYD,Female,0,No,No
5067-XJQFU,Male,1,Yes,Yes
6223-DHJGV,Female,0,No,No
0114-RSRRW,Female,0,Yes,No
2656-FMOKZ,Female,1,No,No
6568-POCUI,Female,0,Yes,No
7445-WMRBW,Female,0,No,No
2209-XADXF,Female,0,No,No
2523-EWWZL,Female,0,Yes,No
2294-SALNE,Male,0,Yes,Yes
2460-NGXBJ,Male,1,Yes,Yes
4238-JSSWH,Female,1,Yes,No
6352-GIGGQ,Male,0,No,No
5524-KHNJP,Male,0,Yes,Yes
9127-FHJBZ,Male,0,Yes,Yes
1360-XFJMR,Female,0,Yes,No
6147-CBCRA,Female,0,Yes,No
4565-EVZMJ,Female,0,No,No
0011-IGKFF,Male,1,Yes,No
7989-VCQOH,Male,0,Yes,Yes
0378-CJKPV,Female,0,Yes,No
8999-BOHSE,Female,1,No,No
5533-NHFRF,Male,1,No,No
6627-CFOSN,Female,0,No,No
1641-RQDAY,Female,1,Yes,Yes
2143-LJULT,Female,0,Yes,No
1142-IHLOO,Female,0,No,No
2931-VUVJN,Female,1,Yes,No
1116-FRYVH,Female,0,Yes,Yes
2037-SGXHH,Male,0,Yes,Yes
8748-HFWBO,Male,0,Yes,Yes
7576-OYWBN,Male,1,No,No
2675-DHUTR,Male,1,Yes,No
6844-DZKRF,Male,0,No,No
0867-LDTTC,Male,0,No,No
0019-EFAEP,Female,0,No,No
6689-VRRTK,Female,1,No,No
2332-EFBJY,Male,0,No,No
5311-IHLEI,Male,0,No,No
2990-HWIML,Female,0,No,No
7134-HBPBS,Female,1,No,No
6510-UPNKS,Female,0,No,No
9565-JSNFM,Male,0,No,No
3946-JEWRQ,Male,0,Yes,No
8540-ZQGEA,Female,0,Yes,No
7718-RXDGG,Male,0,Yes,No
5609-CEBID,Female,1,No,No
7916-VCCPB,Female,0,Yes,Yes
6457-GIRWB,Male,0,No,No
6366-ZGQGL,Male,0,No,No
5310-NOOVA,Male,0,No,No
0727-BNRLG,Male,0,No,No
6172-FECYY,Male,0,Yes,Yes
5944-UGLLK,Male,0,No,No
1015-JPFYW,Male,0,No,Yes
3982-XWFZQ,Female,0,Yes,No
4316-XCSLJ,Male,0,No,Yes
9050-IKDZA,Female,1,No,No
6728-DKUCO,Female,0,Yes,Yes
0536-BGFMZ,Female,0,Yes,No
8992-JQYUN,Male,0,Yes,No
3540-RZJYU,Female,0,No,No
0897-FEGMU,Female,0,Yes,No
2530-FMFXO,Male,0,Yes,Yes
8467-WYNSR,Male,0,No,No
4976-LNFVV,Male,1,Yes,No
1051-EQPZR,Female,0,Yes,Yes
4307-KWMXE,Male,0,No,No
1769-GRUIK,Female,0,No,No
4774-HHGGS,Male,0,Yes,No
4501-VCPFK,Male,0,No,No
5089-IFSDP,Female,0,Yes,No
9526-BIHHD,Male,0,No,No
5174-RNGBH,Female,0,No,No
3696-XRIEN,Female,0,No,No
6174-NRBTZ,Male,0,No,No
1596-OQSPS,Female,0,No,No
7147-AYBAA,Male,0,No,No
0156-FVPTA,Male,0,Yes,No
3873-WOSBC,Male,0,Yes,No
8048-DSDFQ,Male,0,No,No
5939-XAIXZ,Female,0,No,No
0709-TVGUR,Female,1,No,No
4686-GEFRM,Male,0,Yes,No
1845-ZLLIG,Male,0,No,No
8350-NYMVI,Female,0,No,No
5028-GZLDO,Male,0,No,No
1125-SNVCK,Female,1,No,No
7319-VENRZ,Male,0,No,No
3165-HDOEW,Male,0,Yes,Yes
1095-WGNGG,Female,0,Yes,No
6959-UWKHF,Male,0,No,No
0093-EXYQL,Female,1,No,No
3612-YVGSJ,Female,0,Yes,No
8565-CLBZW,Male,0,No,No
8967-SZQAS,Female,0,No,No
7789-CRUVC,Female,1,Yes,No
0134-XWXCE,Female,1,No,No
0505-SPOOW,Female,0,Yes,No
7801-KICAO,Female,0,No,No
7603-USHJS,Male,0,No,Yes
9659-ZTWSM,Male,1,Yes,No
8434-VGEQQ,Male,0,Yes,Yes
7621-VPNET,Female,0,Yes,No
1732-FEKLD,Female,0,No,No
3195-TQDZX,Male,0,No,No
1122-YJBCS,Male,0,Yes,No
6184-DYUOB,Female,0,Yes,No
6711-FLDFB,Female,0,No,No
5821-MMEIL,Female,0,Yes,No
9685-WKZGT,Male,1,No,No
4905-JEFDW,Male,0,No,No
6260-XLACS,Male,0,No,No
8597-CWYHH,Male,0,No,No
3658-QQJYD,Male,0,No,No
2180-DXNEG,Female,0,No,No
7266-GSSJX,Male,0,Yes,Yes
5438-QMDDL,Female,0,Yes,No
4393-RYCRE,Male,0,No,No
7072-MBHEV,Female,1,Yes,Yes
9675-ICXCT,Male,0,Yes,Yes
6680-NENYN,Female,0,No,No
1449-XQEMT,Male,0,No,No
6458-CYIDZ,Female,1,No,No
1142-WACZW,Male,0,No,No
3301-VKTGC,Male,0,Yes,Yes
5244-IRFIH,Male,1,Yes,No
4718-DHSMV,Female,0,No,No
1891-FZYSA,Male,1,Yes,No
1469-LBJQJ,Female,0,Yes,No
4608-LCIMN,Male,0,Yes,Yes
5456-ITGIC,Male,1,Yes,No
1767-TGTKO,Female,0,Yes,Yes
2325-WINES,Female,0,No,No
8129-GMVGI,Female,0,Yes,Yes
0940-OUQEC,Male,0,No,No
2348-KCJLT,Female,0,Yes,No
0461-CVKMU,Female,0,Yes,Yes
1215-VFYVK,Female,0,No,No
4072-IPYLT,Female,0,Yes,Yes
6173-ITPWD,Male,0,Yes,No
7389-KBFIT,Female,0,Yes,Yes
0731-EBJQB,Female,0,Yes,Yes
7330-WZLNC,Female,0,No,No
9055-MOJJJ,Female,0,Yes,Yes
9992-UJOEL,Male,0,No,No
8388-DMKAE,Female,0,No,No
2619-WFQWU,Female,0,No,No
7851-FLGGQ,Male,0,No,No
7139-JZFVG,Male,0,Yes,Yes
3771-PZOBW,Male,0,No,No
3733-ZEECP,Male,0,Yes,Yes
4906-ZHGPK,Male,0,Yes,Yes
2592-HODOV,Male,0,No,No
7826-VVKWT,Female,1,Yes,Yes
1658-TJVOA,Female,1,No,No
2439-LYPMQ,Male,1,Yes,No
7596-LDUXP,Female,0,No,No
4524-QCSSM,Male,0,No,No
3092-IGHWF,Male,0,Yes,Yes
6646-QVXLR,Male,1,Yes,No
9074-KGVOX,Male,0,Yes,Yes
5360-XGYAZ,Male,0,Yes,Yes
0354-WYROK,Female,1,Yes,Yes
9778-OGKQZ,Male,0,Yes,No
4139-JPIAM,Male,0,No,No
3727-JEZTU,Female,0,No,No
3882-IYOIJ,Female,0,Yes,Yes
4335-UPJSI,Female,0,No,Yes
7760-OYPDY,Female,0,No,No
7786-WBJYI,Female,0,No,No
4102-HLENU,Female,0,Yes,No
7718-UPSKJ,Female,0,Yes,No
4110-PFEUZ,Female,0,No,No
3768-VHXQO,Male,0,Yes,No
3027-ZTDHO,Male,0,No,No
4833-QTJNO,Male,1,Yes,No
0141-YEAYS,Female,1,No,No
9822-WMWVG,Female,0,No,No
3612-YUNGG,Male,0,Yes,Yes
7665-TOALD,Female,0,No,No
5027-XWQHA,Male,0,No,No
9443-JUBUO,Male,0,Yes,Yes
2325-ZUSFD,Female,0,Yes,Yes
6953-PBDIN,Male,0,Yes,No
3247-ZVOUO,Male,1,Yes,No
6629-CZTTH,Male,0,No,No
2176-LVPNX,Female,1,No,No
9505-SQFSW,Female,0,Yes,Yes
1705-GUHPV,Female,0,No,No
7978-DKUQH,Female,0,Yes,No
7608-RGIRO,Male,0,No,Yes
3807-BPOMJ,Female,0,Yes,No
1960-UOTYM,Male,0,Yes,Yes
9560-ARGQJ,Female,0,No,Yes
5294-DMSFH,Female,0,Yes,Yes
2485-ITVKB,Female,0,Yes,No
2135-DQWAQ,Female,0,No,No
5396-IZEPB,Male,0,No,No
6022-UGGSO,Female,1,No,No
7971-HLVXI,Male,0,Yes,Yes
7021-XSNYE,Male,0,Yes,Yes
1986-PHGZF,Male,1,No,No
